continent,country,state,city,title
oceania,antarctica,,,A Totally Fun Thing That Bart Will Never Do Again
north america,usa,california,los angeles,Angry Dad: The Movie
north america,usa,utah,park city,Any Given Sundance
asia,india,,,Apocalypse Cow
asia,china,,hong kong,Bart on the Road
north america,canada,,,Bart on the Road
north america,usa,missouri,branson,Bart on the Road
north america,usa,tennessee,knoxville,Bart on the Road
oceania,australia,,,Bart vs. Australia
europe,france,,,Bart-Mangled Banner
north america,usa,delaware,,Behind the Laughter
north america,usa,california,hollywood,Beyond Blunderdome
south america,brazil,,rio de janeiro,Blame It on Lisa
north america,canada,,vancouver,Boy Meets Curl
europe,united kingdom,,,Brush with Greatness
north america,usa,florida,miami,Catch 'Em If You Can
north america,usa,new jersey,atlantic city,Catch 'Em If You Can
north america,usa,new york,niagara falls,Catch 'Em If You Can
north america,usa,florida,cape canaveral,Deep Space Homer
north america,usa,colorado,aspen,"Double, Double, Boy in Trouble"
europe,netherlands,,the hague,Elementary School Musical
north america,usa,arizona,grand canyon,Fland Canyon
asia,china,,,Goo Goo Gai Pan
north america,cuba,,,Havana Wild Weekend
north america,usa,illinois,chicago,He Loves to Fly and He D'ohs
north america,usa,pennsylvania,humbleton,Home Away from Homer
asia,india,,,Homer and Apu
north america,usa,florida,,Homerazzi
europe,united kingdom,,,In the Name of the Grandfather
europe,ireland,,dublin,In the Name of the Grandfather
north america,mexico,,tijuana,Kamp Krusty
north america,usa,arizona,scottsdale,"Kill Gil, Volumes I & II"
north america,usa,florida,,Kill the Alligator and Run
asia,india,,,"Kis Kiss, Bang Bangalore"
north america,usa,california,yosemite,Lisa the Drama Queen
north america,usa,new york,new york,Lisa with an 'S'
north america,usa,hawaii,,Little Big Mom
south america,peru,,machu picchu,Lost Verizon
south america,ecuador,,,Lost Verizon
north america,usa,pennsylvania,,Marge Gamer
north america,usa,georgia,atlanta,Maximum Homerdrive
north america,canada,,winnipeg,Midnight Rx
north america,usa,vermont,,Moe'N'a Lisa
north america,aruba,,,Mommie Beerest
europe,united kingdom,,scotland,Monty Can't Buy Me Love
north america,usa,washington d.c.,,Mr. Lisa Goes to Washington
north america,usa,washington d.c.,,Mr. Spritz Goes to Washington
north america,usa,michigan,detroit,"Oh Brother, Where Art Thou?"
asia,russia,,moscow,Principal Charming
europe,belgium,,,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish"""
north america,usa,florida,orlando,Special Edna
africa,tanzania,,,Simpson Safari
north america,usa,delaware,,Simpsons Tall Tales
north america,usa,florida,miami,"Sunday, Cruddy Sunday"
north america,canada,,toronto,The Bart Wants What It Wants
north america,mexico,,,The Bob Next Door
north america,usa,new york,new york,The City of New York vs. Homer Simpson
europe,france,,,The Crepes of Wrath
europe,france,,paris,The Devil Wears Nada
asia,israel,,jerusalem,The Greatest Story Ever D'ohed
europe,italy,,,The Italian Bob
europe,italy,,,The Last of the Red Hat Mamas
north america,usa,missouri,branson,The Old Man and the Key
europe,united kingdom,,london,The Regina Monologues
europe,iceland,,,The Saga of Carl
north america,usa,louisiana,new orleans,The Simpsons Spin-Off Showcase
north america,cuba,,,The Trouble with Trillions
north america,usa,new jersey,edison museum,The Wizard of Evergreen Terrace
asia,japan,,tokyo,Thirty Minutes Over Tokyo
europe,france,,paris,To Courier with Love
europe,sweden,,stockholm,Treehouse of Horror XIV
north america,usa,nevada,las vegas,Viva Ned Flanders
north america,usa,oregon,,We're on the Road to D'ohwhere
south america,brazil,,rio de janeiro,You Don't Have to Live Like a Referee
