Homer Simpson,29842
Marge Simpson,14159
Bart Simpson,13777
Lisa Simpson,11502
C. Montgomery Burns,3172
Moe Szyslak,2864
Seymour Skinner,2443
Ned Flanders,2145
Grampa Simpson,1886
Milhouse Van Houten,1862
Chief Wiggum,1836
Krusty the Clown,1772
Nelson Muntz,1174
Lenny Leonard,1166
Apu Nahasapeemapetilon,1006
Waylon Smithers,1001
Kent Brockman,894
Carl Carlson,883
Edna Krabappel-Flanders,745
Dr. Julius Hibbert,693
Barney Gumble,612
Selma Bouvier,612
Sideshow Bob,576
Rev. Timothy Lovejoy,562
Groundskeeper Willie,534
Gary Chalmers,526
Ralph Wiggum,508
Mayor Joe Quimby,503
Comic Book Guy,479
Patty Bouvier,479
Otto Mann,424
Martin Prince,409
Jimbo Jones,357
Sideshow Mel,352
Lou,351
Professor Jonathan Frink,341
Fat Tony,280
Kearney Zzyzwicz,280
Agnes Skinner,264
Snake Jailbird,244
Kirk Van Houten,242
Cletus Spuckler,231
DOLPH,201
Todd Flanders,200
Lionel Hutz,163
Miss Hoover,160
Gil Gunderson,159
The Rich Texan,153
Captain Horatio McCallister,145
Manjula Nahasapeemapetilon,145
