raw_character_text,word_count,sentence count,syllable count,Flesch readability,Flesch-Kincaid grade
Homer Simpson,680208,50157,750295,99.75301872,2.714858576
Lisa Simpson,363224,16981,392796,93.636389,5.512810251
Bart Simpson,217113,20679,244164,101.0376486,1.774899258
Marge Simpson,124710,20836,160040,92.19295909,1.887179959
C. Montgomery Burns,36212,5979,47940,88.68817314,2.393719539
Moe Szyslak,32855,5548,40553,96.40224758,1.284328402
Seymour Skinner,28138,4402,38187,85.5335974,2.917082753
Ned Flanders,22909,3589,28872,93.73554367,1.770845321
Krusty the Clown,20701,3483,26224,93.63123837,1.676166153
Chief Wiggum,19992,3409,25261,93.98576775,1.607099772
Grampa Simpson,19510,3224,24344,95.13136518,1.49377106
Kent Brockman,15998,1694,22992,75.66402331,5.051848529
Milhouse Van Houten,14543,2766,18215,95.5374858,1.239944229
Apu Nahasapeemapetilon,11483,1754,14930,90.19457689,2.305390584
Lenny Leonard,9852,1698,12488,93.71028167,1.630033514
Waylon Smithers,9533,1678,12454,90.54638637,2.041285459
Nelson Muntz,8475,1824,10357,98.73223243,0.642454598
Dr. Julius Hibbert,7779,1095,10447,86.00867123,3.02770391
Edna Krabappel-Flanders,7300,1193,9514,90.36604994,2.175215308
Carl Carlson,7150,1218,9211,91.89056876,1.900779496
Rev. Timothy Lovejoy,6864,964,9121,87.18994349,2.866970253
Sideshow Bob,6402,963,8476,88.08018252,2.625453173
Mayor Joe Quimby,6135,815,8521,81.69218024,3.734976325
Comic Book Guy,5719,894,7685,86.65931508,2.761309206
Gary Chalmers,5668,919,7609,87.00374146,2.656249905
Selma Bouvier,4928,839,6204,94.36787885,1.556084199
Announcer,4926,672,7128,76.97714791,4.343626131
Professor Jonathan Frink,4817,640,6458,85.77498685,3.165247272
Groundskeeper Willie,4804,883,5824,98.75031702,0.837224161
Barney Gumble,4458,869,5533,96.62761119,1.056159852
Patty Bouvier,3793,679,4842,93.1678989,1.652033523
Martin Prince,3716,589,4996,86.69035488,2.735094914
Otto Mann,3579,699,4449,96.47306347,1.075265947
Sideshow Mel,3359,542,4531,86.42655092,2.744170351
Ralph Wiggum,3022,611,3686,98.62633552,0.731656223
Fat Tony,2973,449,3851,90.5298383,2.277168668
Lou,2702,458,3396,94.51770563,1.5416217
Jimbo Jones,2657,491,3359,94.39044771,1.438099552
Troy McClure,2601,303,3660,79.07709651,4.362204712
Kirk Van Houten,2507,417,3134,94.97439336,1.505852964
Agnes Skinner,2462,435,3046,96.42274601,1.216335528
Narrator,2420,279,3493,75.92039619,4.82477917
Cletus Spuckler,2321,383,2850,96.80209956,1.262864571
Gil Gunderson,2186,363,2622,99.24907184,0.912117457
Lionel Hutz,2116,351,2793,89.04888035,2.336441924
Snake Jailbird,1928,389,2408,96.14211666,1.080715634
Kearney Zzyzwicz,1826,355,2266,96.62864093,1.059401663
The Rich Texan,1704,297,2134,95.06297411,1.425275288
HERB,1686,277,2201,90.21542075,2.1881797
Miss Hoover,1499,252,2026,86.45473269,2.678379952
DOLPH,1438,262,1786,96.19068681,1.206167175
TROY,1404,210,1858,88.09258974,2.633098087
Captain Horatio McCallister,1386,255,1719,96.39220244,1.164829641
Judge Snyder,1374,228,1911,83.05409733,3.172053551
Mona Simpson,1331,187,1717,90.47595262,2.407971008
Rainier Wolfcastle,1318,194,1726,89.15050749,2.512394913
Manjula Nahasapeemapetilon,1237,210,1577,93.00313514,1.750616353
Declan Desmond,1155,142,1594,81.82386547,3.867204744
Kang,1142,196,1618,81.05872467,3.40073573
Maude Flanders,1141,186,1429,94.65467518,1.58085932
Helen Lovejoy,1129,181,1488,89.00271594,2.394821996
Blue-Haired Lawyer,1087,150,1554,78.53354318,4.105749218
Luigi,1058,169,1320,94.93064513,1.573655664
Lurleen Lumpkin,1055,125,1276,95.94650427,1.973448341
Dr. Nick Riviera,1051,197,1402,88.56628606,2.231478167
Adult Bart,1047,170,1284,96.83365085,1.283001348
Todd Flanders,1024,227,1285,96.09323565,0.976912342
Lindsay Naegle,1021,150,1389,84.83377496,3.117685211
Dr. Marvin Monroe,996,158,1355,85.34327208,2.921693864
Duffman,969,170,1227,93.9244226,1.574795666
Kodos,963,161,1334,83.57138968,3.088734996
